Name,Land,Country,Kontinent,Continent,Adresse,Kategorie,Category,Gewicht,Notiz,Geocoordinates,Elevation,Formatted Address
Primetals Technologies,Österreich,Austria,Europa,Europe,"Turmstraße 44, 4031 Linz",Forschungspartner,Research partner,1,,"48.27461270000001,14.3218696",257.2145691,"BG47, Turmstraße 44, 4031 Linz, Austria"
Faigle Kunststoffe Gmbh,Österreich,Austria,Europa,Europe,"Landstraße 31, 6971 Hard",Forschungspartner,Research partner,1,,"47.4861466,9.6892684",399.1905212,"Landstraße 31, 6971 Hard, Austria"
Frauenhofer,Österreich,Austria,Europa,Europe,"Theresianumgasse 27, 1040 Wien",Forschungspartner,Research partner,1,,"48.191396,16.3735764",188.0975647,"Theresianumgasse 27, 1040 Wien, Austria"
ASMAG,Österreich,Austria,Europa,Europe,"Liesenwaldstraße 3a, 4644 Scharnstein",Forschungspartner,Research partner,1,,"47.8757807,13.93928",499.8407898,"Liesenwaldstraße 3a, 4644 Mühldorf, Austria"
SIMCharacters,Österreich,Austria,Europa,Europe,"Rüdigergasse 10, 1050 Wien",Forschungspartner,Research partner,1,,"48.1939249,16.3571794",176.703064,"Rüdigergasse 10, 1050 Wien, Austria"
Imerys Technology Center,Österreich,Austria,Europa,Europe,"Seebacher Allee 64, 9524 Villach",Forschungspartner,Research partner,1,,"46.6200765,13.8703514",493.5041809,"Seebacher Allee 64, 9524 Villach, Austria"
AIT,Österreich,Austria,Europa,Europe,"Giefinggasse 4, 1210 Wien",Forschungspartner,Research partner,3,,"48.2693843,16.4266624",162.4521027,"Giefinggasse 4, 1210 Wien, Austria"
Austrian Solar Innovation Center,Österreich,Austria,Europa,Europe,"Franz-Fritsch-Straße 11, 4600 Catfish",Forschungspartner,Research partner,1,,"48.1551615,14.0112881",319.4189148,"Franz-Fritsch-Straße 11, 4600 Wels, Austria"
OFI - Österreichisches Forschungsinstitut für Chemie und Technik,Österreich,Austria,Europa,Europe,"Franz-Grill-Straße 5, Objekt 213, 1030 Wien",Forschungspartner,Research partner,3,,"48.1799967,16.398127",194.1136017,"Franz-Grill-Straße 5/Objekt 213, 1030 Wien, Austria"
Austria Email Aktiengesellschaft,Österreich,Austria,Europa,Europe,"Austriastraße 6, 8720 Knittelfeld",Forschungspartner,Research partner,1,,"47.2143779,14.8346817",629.9070435,"Austriastraße 6, 8720 Knittelfeld, Austria"
IDM-Energiesysteme GmbH,Österreich,Austria,Europa,Europe,"Seblas 16-18, 9971 Matrei in Osttirol",Forschungspartner,Research partner,1,,"46.98081819999999,12.5497713",933.9291382,"Seblas 16/18, 9971 Seblas, Austria"
walterkreisel gmbh,Österreich,Austria,Europa,Europe,"Industriestraße 6, 4240 Freistadt",Forschungspartner,Research partner,1,,"48.4975742,14.4997809",566.4004517,"Industriestraße 6, 4240 Freistadt, Austria"
Software Competence Center Hagenberg GmbH,Österreich,Austria,Europa,Europe,"Softwarepark 21, 4232 Hagenberg",Forschungspartner,Research partner,1,,"48.36871230000001,14.5146152",461.6256104,"Softwarepark 21, 4232 Hagenberg im Mühlkreis, Austria"
WEBWindenergie AG,Österreich,Austria,Europa,Europe,"Davidstraße 1, 3834 Pfaffenschlag bei Waidhofen an der Thaya",Forschungspartner,Research partner,1,,"48.8437358,15.200254",566.7730103,"Davidstraße 1, 3834 Pfaffenschlag bei Waidhofen an der Thaya, Austria"
World-Direct eBusiness solutions Gesellschaft m.b.H.,Österreich,Austria,Europa,Europe,"Lassallestraße 9, 1020 Wien",Forschungspartner,Research partner,1,,"48.2227793,16.3986465",162.1818237,"Lassallestraße 9, 1020 Wien, Austria"
TIWAG-TirolerWasserkraft AG,Österreich,Austria,Europa,Europe,"Eduard-Wallnöfer-Platz 2, 6020 Innsbruck",Forschungspartner,Research partner,1,,"47.2634653,11.3956726",580.4458618,"Eduard-Wallnöfer-Platz 2, 6020 Innsbruck, Austria"
ENAMO GmbH,Österreich,Austria,Europa,Europe,"Böhmerwaldstraße 16, 4020 Linz",Forschungspartner,Research partner,1,,"48.29205260000001,14.2899741",262.1955872,"Böhmerwaldstraße 16, 4020 Linz, Austria"
MS.GIS Informationssysteme Gesellschaft m.b.H.,Österreich,Austria,Europa,Europe,"Bahnhofplatz 1a/1/6, 2340 Mödling",Forschungspartner,Research partner,1,,"48.0858558,16.2940282",219.1954193,"Bahnhofpl. 1a, 2340 Mödling, Austria"
Sonnenplatz Großschönau GmbH,Österreich,Austria,Europa,Europe,"Sonnenplatz 1, 3922 Großschönau",Forschungspartner,Research partner,1,,"48.64819,14.936344",707.6958618,"Sonnenplatz 1, 3922 Großschönau, Austria"
aWATTar GmbH,Österreich,Austria,Europa,Europe,"Schottenfeldgasse 15/19, 1070 Wien",Forschungspartner,Research partner,1,,"48.1980461,16.3434265",203.8771973,"Schottenfeldgasse 15, 1070 Wien, Austria"
FRONIUS INTERNATIONAL GmbH,Österreich,Austria,Europa,Europe,"Froniusstraße 1, 4643 Pettenbach",Forschungspartner,Research partner,2,,"47.9667386,14.0085837",482.2319336,"Froniusstraße 1, 4643 Pettenbach, Austria"
MorphoMedGmbH,Österreich,Austria,Europa,Europe,"Löwengasse 45, 1030 Wien",Forschungspartner,Research partner,2,,"48.2071687,16.3940504",163.4216919,"Löwengasse 45, 1030 Wien, Austria"
BMVIT,Österreich,Austria,Europa,Europe,"Radetzkystraße 2, 1030 Wien",Forschungspartner,Research partner,1,,"48.21091819999999,16.3865828",164.0971222,"Radetzkystraße 2, 1030 Wien, Austria"
ÖBB,Österreich,Austria,Europa,Europe,"Nordbahnstraße 50, 1020 Wien",Forschungspartner,Research partner,1,,"48.2202761,16.3897844",162.93573,"Nordbahnstraße 50, 1020 Wien, Austria"
ASFINAG,Österreich,Austria,Europa,Europe,"Rotenturmstraße 5-9, 1010 Wien",Forschungspartner,Research partner,1,,"48.2095577,16.3729172",174.4488525,"Rotenturmstraße 5-9, 1010 Wien, Austria"
Fachhochschule Kärnten,Österreich,Austria,Europa,Europe,"Villacher Straße 1, 9800 Spittal/Drau",Forschungspartner,Research partner,1,,"46.797386,13.5010815",552.145752,"Villacher Str. 1, 9800 Spittal an der Drau, Austria"
E.C.O. Institut für Ökologie Jungmeier GmbH,Österreich,Austria,Europa,Europe,"Lakeside B07b, 9020 Klagenfurt",Forschungspartner,Research partner,1,,"46.6143966,14.262451",442.865387,"Lakeside B07b, 9020 Klagenfurt am Wörthersee, Austria"
"biohelp - biologischer Pflanzenschutz- Nützlingsproduktions-, Handels- und  Beratungs GmbH",Österreich,Austria,Europa,Europe,"Kapleigasse 16, 1110Wien",Forschungspartner,Research partner,1,,"48.1731735,16.4579819",157.5426788,"Kapleigasse 16/1110Wien, 1110 Wien, Austria"
"DI Michael Fleischmann, MA",Österreich,Austria,Europa,Europe,"Obersulz 110, 2224 Sulz im Weinviertel",Forschungspartner,Research partner,1,,"48.50468600000001,16.6763216",212.8114929,"Obersulz 110, 2224 Obersulz, Austria"
LEADER-Region Niederösterreich Süd - Verein zur Förderung der regionalen Entwicklung,Österreich,Austria,Europa,Europe,"Hauptplatz 1, 2620 Neunkirchen",Forschungspartner,Research partner,1,,"47.7206662,16.0815546",371.3282776,"Hauptpl. 1, 2620 Neunkirchen, Austria"
OPESTRA e.U.,Österreich,Austria,Europa,Europe,"Turmgartengasse 2, 2753 Markt Piesting",Forschungspartner,Research partner,1,,"47.87210169999999,16.129559",347.266571,"Turmgartengasse 2, 2753 Markt Piesting, Austria"
Technologieplattform Smart Grids Austria,Österreich,Austria,Europa,Europe,"Mariahilfer Straße 37-39, 1060 Wien",Forschungspartner,Research partner,2,,"48.20002239999999,16.3562528",196.8192139,"Mariahilfer Str. 37-39, 1060 Wien, Austria"
AICO EDV Beratung Ges.m.b.H.,Österreich,Austria,Europa,Europe,"Schleinbacher Straße 61, 2122 Ulrichskirchen",Forschungspartner,Research partner,1,,"48.4065745,16.4907802",188.0771637,"Schleinbacher Str. 61, 2122 Ulrichskirchen, Austria"
"Tiani ""Spirit"" GmbH",Österreich,Austria,Europa,Europe,"Fasangasse 12, 2102 Bisamberg",Forschungspartner,Research partner,1,,"48.3350318,16.3640679",169.6138306,"Fasangasse 12, 2102 Bisamberg, Austria"
Sprecher Automation GmbH,Österreich,Austria,Europa,Europe,"Franckstraße 51, 4020 Linz",Forschungspartner,Research partner,1,,"48.2927633,14.3146806",259.9088745,"Franckstraße 51, 4020 Linz, Austria"
OFFIS e.V.,Deutschland,Germany,Europa,Europe,"Escherweg 2, 26121 Oldenburg",Forschungspartner,Research partner,1,,"53.1488125,8.200029899999999",6.721642971,"Escherweg 2, 26121 Oldenburg, Germany"
BECOM BLUETECHNIX GmbH,Österreich,Austria,Europa,Europe,"Gutheil-Schoder-Gasse 17, 1230 Wien",Forschungspartner,Research partner,1,,"48.1553803,16.3351326",192.1126862,"Gutheil-Schoder-Gasse 17, 1230 Wien, Austria"
Elektrobit Austria GmbH,Österreich,Austria,Europa,Europe,"Kaiserstr. 45/Stiege 2, 1070 Wien",Forschungspartner,Research partner,1,,"48.2014046,16.3400932",211.6103516,"Kaiserstraße 45/Stiege 2, 1070 Wien, Austria"
Infineon Technologies Austria AG,Österreich,Austria,Europa,Europe,"Siemensstraße 2, 9500 Villach",Forschungspartner,Research partner,3,,"46.5961546,13.8554691",492.7043152,"Siemensstraße 2, 9500 Villach, Austria"
Oregano Systems GmbH,Österreich,Austria,Europa,Europe,"Franzosengraben 8, 1030 Wien",Forschungspartner,Research partner,1,,"48.1887798,16.4140929",159.5502625,"Franzosengraben 8, 1030 Wien, Austria"
CTR Carinthian Tech Research AG,Österreich,Austria,Europa,Europe,"High Tech Campus Villach, Europastraße 12, 9524 Villach-St.Magdalen",Forschungspartner,Research partner,1,,"46.609908,13.885691",489,"Europastraße 12, 9524 Villach, Austria"
ISOVOLTAIC AG,Österreich,Austria,Europa,Europe,"Isovoltaicstraße 1, 8403 Lebring",Forschungspartner,Research partner,1,,"46.8480303,15.5306257",291.0206299,"Isovoltaicstraße 1, 8403 Lebring, Austria"
Polymer Competence Center Leoben GmbH,Österreich,Austria,Europa,Europe,"Roseggerstraße 12, 8700 Leoben",Forschungspartner,Research partner,1,,"47.382774,15.0904492",543.0941772,"Roseggerstraße 12, 8700 Leoben, Austria"
PVSV e.U.,Österreich,Austria,Europa,Europe,"Unterer Markt 7, 9334 Guttaring",Forschungspartner,Research partner,1,,"46.89053759999999,14.5115463",638.8237915,"Unterer Markt 7, 9334 Guttaring, Austria"
ENcome Energy Performance GmbH,Österreich,Austria,Europa,Europe,"Lakeside B08b, 9020 Klagenfurt",Forschungspartner,Research partner,1,,"46.6148251,14.2618472",441.5110779,"Lakeside, 9020 Klagenfurt am Wörthersee, Austria"
Ulbrich of Austria GmbH,Österreich,Austria,Europa,Europe,"Industriestraße 1, 7052 Müllendorf",Forschungspartner,Research partner,1,,"47.8332398,16.4594366",204.9416962,"Industriestraße 1, 7052 Müllendorf, Austria"
Polytec PT Gesellschaft mit beschränkter Haftung,Deutschland,Germany,Europa,Europe,"Polytec-Platz 1-7, 76337 Waldbronn",Forschungspartner,Research partner,1,,"48.92645,8.4902",287.8253174,"Polytecpl. 1-7, 76337 Waldbronn, Germany"
PVI GmbH,Österreich,Austria,Europa,Europe,"Rosentalerstraße 87, 9023 Klagenfurt",Forschungspartner,Research partner,1,,"46.6106312,14.3007238",442.1897583,"Rosentaler Str. 87, 9020 Klagenfurt am Wörthersee, Austria"
PVP Photovoltaik GmbH,Österreich,Austria,Europa,Europe,"Wernersdorf 111, 8551 Wernersdorf",Forschungspartner,Research partner,1,,"46.7160537,15.207071",386.2217102,"Wernersdorf 111, 8551, Austria"
Biomarker Design Forschungs GmbH,Österreich,Austria,Europa,Europe,"Divischgasse 4, 1210Wien",Forschungspartner,Research partner,1,,"48.2716316,16.4123828",163.3573914,"Divischgasse 4/1210Wien, 1210 Wien, Austria"
Trauma Care Consult GmbH,Österreich,Austria,Europa,Europe,"Gonzagagasse 11/25, 1010 Wien",Forschungspartner,Research partner,2,,"48.2149118,16.3705384",165.0365448,"Gonzagagasse 11, 1010 Wien, Austria"
Kompetenzzentrum Holz GmbH,Österreich,Austria,Europa,Europe,"Altenberger Straße 69, 4040 Linz",Forschungspartner,Research partner,1,,"48.3366151,14.3193046",260.7670593,"Altenbergerstraße 69, 4040 Linz, Austria"
HAGE Sondermaschinenbau GmbH & Co KG,Österreich,Austria,Europa,Europe,"Hauptstraße 52e, 8742 Obdach",Forschungspartner,Research partner,1,,"47.0629443,14.7005417",889.6582642,"Hauptstraße 52e, 8742 Obdach, Austria"
Thermoplastkreislauf GmbH.,Österreich,Austria,Europa,Europe,"Schwechatzeile 25, 2514 Traiskirchen",Forschungspartner,Research partner,1,,"48.0039863,16.2920248",205.9471588,"Schwechatzeile 25, 2514 Traiskirchen, Austria"
ecoplus.Niederösterreichs Wirtschaftsagentur GmbH,Österreich,Austria,Europa,Europe,"Niederösterreichring 2, Haus A, 3100 St Pölten",Forschungspartner,Research partner,1,,"48.198241,15.6317293",272.6925659,"Niederösterreichring 2/Haus A, 3100 St. Pölten, Austria"
Head Sport GmbH,Österreich,Austria,Europa,Europe,"Wuhrkopfweg 1, 6921 Kennelbach",Forschungspartner,Research partner,1,,"47.4772674,9.7642658",430.5201721,"Wuhrkopfweg 1, 6921 Kennelbach, Austria"
HARATECH GmbH,Österreich,Austria,Europa,Europe,"Peter-Behrens-Platz 6, Magazin EG, 4020 Linz",Forschungspartner,Research partner,1,,"48.3125706,14.299495",255.9011536,"Peter-Behrens-Platz 6, 4020 Linz, Austria"
Schiner 3D Repro GmbH,Österreich,Austria,Europa,Europe,"An der Schütt 40, 3500 Krems",Forschungspartner,Research partner,1,,"48.4050599,15.6536394",194.07341,"An der Schütt 40, 3500 Krems an der Donau, Austria"
Plasmics,Österreich,Austria,Europa,Europe,"Lange Gasse 31/4 , 1080 Wien",Forschungspartner,Research partner,1,,"48.20897739999999,16.3521821",195.9135132,"Lange G. 31, 1080 Wien, Austria"
"ZIMD - Zentrum für Interaktion, Medien und soziale Diversität",Österreich,Austria,Europa,Europe,"Währinger Straße 81/12, 1180 Wien",Forschungspartner,Research partner,1,,"48.2254728,16.3468957",187.6954041,"Währinger Str. 81, 1180 Wien, Austria"
Polycular OG,Österreich,Austria,Europa,Europe,"Untersbergstraße 7, 5411 Oberalm",Forschungspartner,Research partner,1,,"47.7052606,13.0860291",440,"Untersbergstraße 7, 5411 Oberalm, Austria"
Im Dialog mit Südosteuropa - SEE.ID - In Dialogue with South-Eastern Europe,Österreich,Austria,Europa,Europe,"Johann-Hiller-Straße 21/8, 9020 Klagenfurt",Forschungspartner,Research partner,1,,"46.6125165,14.297915",442.638916,"Johann-Hiller-Straße 21, 9020 Klagenfurt am Wörthersee, Austria"
FH OÖ Forschungs & Entwicklungs GmbH,Österreich,Austria,Europa,Europe,"Franz-Fritsch-Straße 11, 4600 Wels",Forschungspartner,Research partner,1,,"48.1551615,14.0112881",319.4189148,"Franz-Fritsch-Straße 11, 4600 Wels, Austria"
4ward Energy Res GmbH,Österreich,Austria,Europa,Europe,"Reininghausstraße 13A, 8020 Graz",Forschungspartner,Research partner,1,,"47.064882,15.4078163",364.8661804,"Reininghausstraße 13a, 8020 Graz, Austria"
Diel Metering Gesellschaft m.b.H.,Österreich,Austria,Europa,Europe,"Hainburgerstr. 33, 1030 Wien",Forschungspartner,Research partner,2,,"48.1990638,16.3977805",168.5837402,"Hainburger Str. 33, 1030 Wien, Austria"
EffiCent Energieeffizienz Dienstleistungen GmbH,Österreich,Austria,Europa,Europe,"Handelskai 265, 1020 Wien",Forschungspartner,Research partner,1,,"48.2242721,16.4079281",163.7997284,"Handelskai 265, 1020 Wien, Austria"
EVN AG,Österreich,Austria,Europa,Europe,"EVN Platz, 2344 Maria Enzersdorf",Forschungspartner,Research partner,2,,"48.09370999999999,16.31165",204.7729492,"EVN-Platz, 2344 Maria Enzersdorf, Austria"
TPPV - Öst. Technologieplattform PV,Österreich,Austria,Europa,Europe,"Mariahilferstraße 37-39, 1060 Wien",Forschungspartner,Research partner,1,,"48.20002239999999,16.3562528",196.8192139,"Mariahilfer Str. 37-39, 1060 Wien, Austria"
Wynergy e.U.,Österreich,Austria,Europa,Europe,"Hagengasse 44, 3424 Zeiselmauer",Forschungspartner,Research partner,1,,"48.3216143,16.1782422",172.9817047,"Hagengasse 44, 3424 Zeiselmauer, Austria"
Z Energi AS (Norway),Norwegen,Norway,Europa,Europe,"Forusparken 12, 4031 Stavanger",Forschungspartner,Research partner,1,,"58.8896913,5.737263",12.84319973,"Forusparken 12, 4033 Stavanger, Norway"
NORCE-Norwegian Research Centre AS,Norwegen,Norway,Europa,Europe,"Nygårdsgaten 112, 5072 Bergen",Forschungspartner,Research partner,1,,"60.3844476,5.333499799999999",1.786164999,"Nygårdsgaten 112, 5008 Bergen, Norway"
GreenWatch S.A. (Belgium),Belgien,Belgium,Europa,Europe,"Avenue Lavoisier 18, 1300 Wavre",Forschungspartner,Research partner,1,,"50.7354985,4.5874758",101.555336,"Avenue Lavoisier 18, 1300 Wavre, Belgium"
TRIPOD HOUSE AS (Norway),Norwegen,Norway,Europa,Europe,"Hillevågsveien 100, 4031 Stavanger",Forschungspartner,Research partner,1,,"58.942453,5.746522199999999",23.35737228,"Hillevågsveien 100, 4016 Stavanger, Norway"
Becquerel Institute – Icares Consulting SPRL (Belgium),Belgien,Belgium,Europa,Europe,"Rue Royale 146, 1000 Brussels",Forschungspartner,Research partner,1,,"50.849486,4.3635296",54.44724655,"Koningsstraat 146, 1000 Brussel, Belgium"
SILA embedded solutions,Österreich,Austria,Europa,Europe,"Linzerstr. 28, 3100 St. Pölten",Forschungspartner,Research partner,1,,"48.2025024,15.6219682",274.5032654,"Linzer Str. 28, 3100 St. Pölten, Austria"
HSG Hybrid Strom GmbH,Österreich,Austria,Europa,Europe,"Rosengasse 21a, 2301 Groß-Enzersdorf",Forschungspartner,Research partner,1,,"48.1939417,16.5491263",155.3842773,"Rosengasse 21a, 2301 Groß-Enzersdorf, Austria"
VB-LifeManagement KG,Österreich,Austria,Europa,Europe,"Waldstraße 16, 2524 Oberwaltersdorf",Forschungspartner,Research partner,1,,"47.972112,16.3112736",219.584259,"Waldstraße 16, 2522 Oberwaltersdorf, Austria"
AUTOCOM RENTAL & TRADING GES.M.B.H.,Österreich,Austria,Europa,Europe,"Schmiedinger Straße 67, 5020 Salzburg",Forschungspartner,Research partner,1,,"47.8278926,13.0221623",415,"Schmiedingerstraße 67, 5020 Salzburg, Austria"
GRA-MA GmbH,Österreich,Austria,Europa,Europe,"Spanheimerstraße 24-26, 9400 Wolfsberg",Forschungspartner,Research partner,1,,"46.83957179999999,14.8393525",457.789032,"Spanheimerstraße 24, 9400 Schleifen, Austria"
Stromwerkstatt GmbH,Österreich,Austria,Europa,Europe,"Wiesenstraße 43-45, 4812 Pinsdorf",Forschungspartner,Research partner,1,,"47.9528177,13.7496583",450.7463074,"Wiesenstraße 43/45, 4812 Wiesen, Austria"
BluePower GmbH,Österreich,Austria,Europa,Europe,"Pyhrnstraße 16, 4553 Schlierbach",Forschungspartner,Research partner,1,,"47.9157491,14.110909",430.3762512,"Pyhrnstraße 16, 4553 Schlierbach, Austria"
Sensenwerk Sonnleithner Gesellschaft m.b.H.,Österreich,Austria,Europa,Europe,"Laussatal 43, 4461 Laussa",Forschungspartner,Research partner,2,,"47.9516041,14.4317308",406.7348022,"Laussatal 43, 4461 Laussa, Austria"
Energiewerkstatt,Österreich,Austria,Europa,Europe,"Heiligenstatt 24, 5211 Friedburg",Forschungspartner,Research partner,2,,"48.0266234,13.2272993",515.8034058,"Heiligenstatt 24, 5211 Heiligenstatt, Austria"
Zentralanstalt für Meteorologie und Geodynamik,Österreich,Austria,Europa,Europe,"Hohe Warte 38, 1190 Wien",Forschungspartner,Research partner,2,,"48.24848009999999,16.3556302",203.2841949,"Hohe Warte 38, 1190 Wien, Austria"
Solvento Energy Consulting GmbH,Österreich,Austria,Europa,Europe,"Klosterweg 1, 2443 Loretto",Forschungspartner,Research partner,2,,"47.9130467,16.5201778",230.8763275,"Klosterweg 1, 2443 Loretto, Austria"
ATB-Becker e.U.,Österreich,Austria,Europa,Europe,"Dörferstraße 16, 6067 Absam",Forschungspartner,Research partner,3,,"47.29490939999999,11.5099947",645.3692017,"Dörferstraße 16, 6067 Absam, Austria"
AEE Arbeitsgemeinschaft ERNEUERBARE ENERGIE Niederösterreich - Wien,Österreich,Austria,Europa,Europe,"Karolinengasse 32/1, 1040 Wien",Forschungspartner,Research partner,1,,"48.18988179999999,16.3729361",190.4627075,"Karolinengasse 32, 1040 Wien, Austria"
crystalsol GmbH,Österreich,Austria,Europa,Europe,"Simmeringer Hauptstraße 24, 1110 Wien",Forschungspartner,Research partner,2,,"48.1818496,16.4069459",176.3156433,"Simmeringer Hauptstraße 24, 1110 Wien, Austria"
STRABAG AG,Österreich,Austria,Europa,Europe,"Ortenburgerstraße 27, 9800 Spittal an der Drau",Forschungspartner,Research partner,1,,"46.7919434,13.4896258",540.9847412,"Ortenburger Str. 27, 9800 Spittal an der Drau, Austria"
TELEREAL Telekommunikationsanlagen GmbH,Österreich,Austria,Europa,Europe,"Mollardgasse 8/Top 19, 1060 Wien",Forschungspartner,Research partner,1,,"48.193345,16.3526944",175.2932587,"Mollardgasse 8/Top 19, 1060 Wien, Austria"
Mischtechnik Hoffmann & Partner GmbH,Österreich,Austria,Europa,Europe,"Eduard-Klinger-Straße 3c, 3423 St. Andrä-Wördern",Forschungspartner,Research partner,1,,"48.3324365,16.2036786",172.5010529,"Eduard-Klinger-Straße 3c, 3423 St. Andrä-Wördern, Austria"
Sunplugged - Solare Energiesysteme GmbH,Österreich,Austria,Europa,Europe,"Mindelheimer Straße 6, 6130 Schwaz",Forschungspartner,Research partner,1,,"47.35064759999999,11.7095718",534.107605,"Mindelheimer Str. 6, 6130 Schwaz, Austria"
Schachner Wind GmbH,Österreich,Austria,Europa,Europe,"Gewerbepark Pölla 6, 3353 Seitenstetten",Forschungspartner,Research partner,1,,"48.0417952,14.632131",338.3624573,"Gewerbepark Pölla 6, 3353 Seitenstetten, Austria"
AllesWirdGut Architektur ZT GmbH,Österreich,Austria,Europa,Europe,"Untere Donaustraße 13-15, 1020 Wien",Forschungspartner,Research partner,1,,"48.2125344,16.3819287",163.3523254,"Untere Donaustraße 13-15, 1020 Wien, Austria"
oekostrom Produktions GmbH,Österreich,Austria,Europa,Europe,"Laxenburger Straße 2, 1100 Wien",Forschungspartner,Research partner,1,,"48.1842549,16.3727548",204.954895,"Laxenburger Str. 2, 1100 Wien, Austria"
Energieagentur der Regionen (RENA),Österreich,Austria,Europa,Europe,"Hans Kudlich-Straße 2, 3830 Waidhofen an der Thaya",Forschungspartner,Research partner,1,,"48.811876,15.2756964",504.8935852,"Hans-Kudlich-Straße 2, 3830 Waidhofen an der Thaya, Austria"
NIKKO Engineering GmbH,Österreich,Austria,Europa,Europe,"Leopold Breinschmid-Straße 18, 2500 Baden",Forschungspartner,Research partner,1,,"47.9967029,16.2302249",231.3692474,"Leopold Breinschmid-Straße 18, 2500 Baden, Austria"
Architekturbüro Reinberg ZT GmbH,Österreich,Austria,Europa,Europe,"Lindengasse 39/10, 1070 Wien",Forschungspartner,Research partner,1,,"48.1998832,16.3500952",203.7423706,"Lindengasse 39, 1070 Wien, Austria"
BlueSky Energy Entwicklungs- und ProduktionsGmbH,Österreich,Austria,Europa,Europe,"Allied Panels Park 1, 4873 Frankenburg",Forschungspartner,Research partner,1,,"48.0580501,13.4801306",531.140686,"Allied Panels Pk. 1, 4873 Lessigen, Austria"
