Herkunftsland,Kontinent,Anzahl,,Geocoordinates,Elevation,Formatted Address
Somalia,Afrika,1,,"5.152149,46.199616",240.3608246,"Raas Cabaad, Somalia"
Spanien,Europa,8,,"40.46366700000001,-3.74922",594.1013794,Spain
Syrien,Asien,11,,"34.80207499999999,38.996815",445.2398376,Syria
Südafrika,Afrika,2,,"-30.559482,22.937506",1110.384521,South Africa
Thailand,Asien,3,,"15.870032,100.992541",92.6388855,Thailand
Togo,Afrika,1,,"8.619543,0.824782",481,Togo
Tschechien,Europa,7,,"49.81749199999999,15.472962",375.4650574,Czechia
Tunesien,Afrika,5,,"33.886917,9.537499",46.17964172,Tunisia
Türkei,Asien,63,,"38.963745,35.243322",1220.325195,Turkey
USA,Nordamerika,8,,"37.09024,-95.712891",257.4061584,United States
Ukraine,Europa,18,,"48.379433,31.1655799",198.0131226,Ukraine
Ungarn,Europa,43,,"47.162494,19.5033041",129.3714294,Hungary
Venezuela,Südamerika,3,,"6.42375,-66.58973",89.847435,Venezuela
Vietnam,Asien,1,,"14.058324,108.277199",732.5075684,Vietnam
Weißrussland,Europa,3,,"53.709807,27.953389",192.8483734,Belarus
Zypern,Europa,1,,"35.126413,33.429859",135.888031,Cyprus
Ägypten,Afrika,14,,"26.820553,30.802498",289.287384,Egypt
Äthiopien,Afrika,1,,"9.145000000000001,40.489673",1355.773682,Ethiopia
Österreich,Europa,3512,,"47.516231,14.550072",1166.257324,Austria
